GoogleMetroArea,trends_geocode,typearea,GeoName,State,zip_code
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4020
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4574
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4261
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4061
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3595
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4553
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3901
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4860
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3227
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4575
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3887
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4050
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4022
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4348
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3911
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4222
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4854
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3593
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4332
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4853
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4341
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4547
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4224
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4007
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4104
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4858
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4352
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3597
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3579
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4538
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4555
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4989
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3886
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4033
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4554
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4564
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4918
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4543
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4112
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3845
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4917
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4290
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3813
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4864
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3575
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4338
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4573
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4087
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4551
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4841
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4116
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4286
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4039
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4051
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4219
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4266
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3259
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4336
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4350
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4068
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4009
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4349
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4019
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3832
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4225
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4011
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4253
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3894
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4284
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4076
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4576
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4289
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4359
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3849
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4556
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4049
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3830
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3890
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4237
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4843
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4032
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3860
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4347
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4364
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4357
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4963
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4226
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4926
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4966
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4537
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4015
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4333
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4358
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4231
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4086
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4106
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4211
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4936
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4970
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4071
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4066
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4861
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4005
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4034
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4964
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4572
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4865
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4901
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4910
